timestamp,x_est,y_est,theta_est,x_gt,y_gt,theta_gt,error,n_particles,neff,update_time_ms
22.82,0.16000950513928525,-0.1933579202688362,-2.2372210458072614,-0.506762,0.36996,-2.249475,0.872875317191244,1213,736.0042552965365,1788.5611057281494
22.92,0.1542937476733265,-0.1949316100410444,-2.249640678121858,-0.512616,0.362667,-2.213917,0.8693013409982782,1151,708.395342274946,1824.2793083190918
23.02,0.16793739972788724,-0.17744280062345819,-2.2220763747080285,-0.512602,0.362674,-2.123952,0.86882681409917,1151,810.0934327469387,1663.5594367980957
23.12,0.14279479251822608,-0.1574684310321694,-2.1815897764906595,-0.512589,0.362674,-2.033983,0.8367054822669852,1151,643.3895753561094,1743.5705661773682
23.22,0.1583695758540792,-0.15835063858934942,-2.167505170075738,-0.516316,0.355027,-1.997936,0.8477955095830167,1151,1000.2022046959243,1624.6826648712158
23.32,0.15536578693735634,-0.16298301554721054,-2.167530316436711,-0.522537,0.341367,-1.997957,0.8449385342851314,1151,999.7533761959497,1625.0298023223877
23.42,0.15221867926286278,-0.16781441379220752,-2.169207910733125,-0.528753,0.327713,-1.997961,0.8421815990495618,1151,999.3728056801476,1623.8386631011963
23.52,0.14901694135304971,-0.17237999988664732,-2.1705622194509195,-0.534969,0.31406,-1.997962,0.8393215363961174,1151,998.1342687061378,1642.1468257904053
23.62,0.1509964800017417,-0.17191434829297278,-2.1283075561506406,-0.534961,0.313529,-1.907402,0.8403528477801645,1151,752.0279808186923,1614.5625114440918
23.72,0.18060244986493684,-0.1376096042385754,-2.0217266355675125,-0.534951,0.313533,-1.817446,0.8458997511364904,1105,565.623484981601,1650.4805088043213
23.82,0.17813980933581092,-0.11782804858271032,-2.021597426002654,-0.53494,0.313534,-1.727506,0.833400282841246,1105,797.4201249419904,1551.3825416564941
23.92,0.175199714624749,-0.12328992647305681,-2.0239090504082053,-0.537105,0.299357,-1.719911,0.8282562592179831,1105,793.8067295974904,1506.3209533691406
24.02,0.1723840936702803,-0.12871225570283676,-2.0276935992685647,-0.539334,0.284517,-1.719923,0.8229830269369949,1105,788.1315138766688,1483.1550121307373
