timestamp,range_0,range_32,range_64,range_96,range_128,range_160,range_192,range_224,range_256,range_288,range_320,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
53.400,0.375924,0.381017,0.225537,0.207506,0.252202,0.582032,1.146297,1.552108,1.336682,1.265267,0.503070,0.381805,-0.412398,-0.181723,1.779674,0.150000,0.000000,-0.550395,-0.340887,1.590054
53.420,0.389395,0.386902,0.236771,0.198835,0.256753,0.581335,1.137087,1.491666,1.337089,1.273274,0.494080,0.394116,-0.413042,-0.178682,1.779674,0.150000,0.000000,-0.550452,-0.337887,1.590054
53.440,0.385283,0.387365,0.222733,0.197265,0.241520,0.579471,1.144608,1.546194,1.344074,1.318030,0.510366,0.384186,-0.413644,-0.175844,1.779674,0.150000,0.000000,-0.550510,-0.334888,1.590054
53.460,0.377207,0.386636,0.227191,0.218069,0.241967,0.581227,1.137742,1.529427,1.338616,1.325767,0.526743,0.393324,-0.414289,-0.172803,1.779674,0.000000,-1.000000,-0.550568,-0.331888,1.590054
53.480,0.392533,0.371356,0.224986,0.201617,0.252306,0.589773,1.130731,1.544223,1.342836,1.263202,0.494529,0.392023,-0.414289,-0.172803,1.758950,0.000000,-1.000000,-0.550553,-0.330964,1.580549
53.500,0.388857,0.355848,0.221899,0.193528,0.257111,0.627217,1.137558,1.566109,1.331821,1.188977,0.492971,0.397789,-0.414270,-0.172905,1.739521,0.000000,-1.000000,-0.550551,-0.330791,1.560552
53.520,0.393697,0.347169,0.222253,0.193031,0.261944,0.664858,1.134187,1.611969,1.329105,1.129436,0.490569,0.388085,-0.414287,-0.172803,1.720092,0.000000,-1.000000,-0.550550,-0.330777,1.542365
53.540,0.392124,0.344166,0.217583,0.196600,0.256942,0.705771,1.152773,1.628379,1.323417,1.074724,0.486084,0.388131,-0.414287,-0.172803,1.699368,0.000000,-1.000000,-0.550549,-0.330780,1.524376
53.560,0.383323,0.336933,0.216476,0.200491,0.269847,0.756192,1.153466,1.682144,1.309376,1.028747,0.474469,0.388737,-0.414274,-0.172905,1.679939,0.150000,0.000000,-0.550548,-0.330783,1.506387
53.580,0.390849,0.332061,0.204382,0.196503,0.271094,0.776764,1.166927,1.692964,1.315918,1.035821,0.467692,0.395323,-0.414613,-0.169815,1.679939,0.150000,0.000000,-0.550394,-0.328594,1.497300
53.600,0.396020,0.332621,0.200592,0.193977,0.273862,0.760711,1.159319,1.689469,1.314439,1.024230,0.485045,0.392311,-0.414929,-0.166931,1.679939,0.150000,0.000000,-0.550171,-0.325600,1.497302
53.620,0.393481,0.330314,0.210065,0.200484,0.277667,0.755698,1.153633,1.675331,1.318974,1.050475,0.486710,0.395498,-0.415268,-0.163841,1.679939,0.150000,0.000000,-0.549949,-0.322605,1.497306
53.640,0.400290,0.325546,0.206302,0.206821,0.281570,0.790151,1.146798,1.682370,1.318844,1.060097,0.488507,0.399379,-0.415584,-0.160957,1.679939,0.150000,0.000000,-0.549727,-0.319612,1.497308
53.660,0.398344,0.330616,0.212790,0.203267,0.273508,0.787315,1.155975,1.675472,1.323379,1.045515,0.491473,0.399500,-0.415922,-0.157867,1.679939,0.150000,0.000000,-0.549505,-0.316618,1.497310
53.680,0.401965,0.321988,0.216311,0.206099,0.281421,0.791921,1.149020,1.665213,1.318854,1.052912,0.496500,0.409605,-0.416238,-0.154983,1.679939,0.150000,0.000000,-0.549284,-0.313625,1.497312
53.700,0.409209,0.327480,0.203557,0.200764,0.271574,0.792615,1.144224,1.678130,1.319280,1.061035,0.500199,0.409380,-0.416564,-0.151996,1.678644,0.150000,0.000000,-0.549063,-0.310632,1.497313
53.720,0.414654,0.337727,0.220260,0.199156,0.262684,0.790533,1.145897,1.650986,1.321816,1.064345,0.506850,0.405894,-0.416889,-0.149008,1.679939,0.150000,0.000000,-0.548842,-0.307640,1.497315
53.740,0.424829,0.331871,0.213123,0.203261,0.280873,0.783633,1.140221,1.636144,1.320234,1.071345,0.508866,0.410317,-0.417215,-0.146021,1.678644,0.150000,0.000000,-0.548622,-0.304647,1.497316
53.760,0.418032,0.333537,0.214219,0.201869,0.266202,0.787331,1.124280,1.633628,1.315862,1.077124,0.518017,0.417348,-0.417540,-0.143034,1.679939,0.150000,0.000000,-0.548401,-0.301655,1.497316
53.780,0.422971,0.338956,0.213451,0.199709,0.261286,0.782510,1.133467,1.649214,1.317636,1.090118,0.519496,0.416787,-0.417865,-0.140046,1.678644,0.150000,0.000000,-0.548181,-0.298662,1.497317
