timestamp,range_0,range_8,range_16,range_24,range_32,range_40,range_48,range_56,range_64,range_72,range_80,range_88,range_96,range_104,range_112,range_120,range_128,range_136,range_144,range_152,range_160,range_168,range_176,range_184,range_192,range_200,range_208,range_216,range_224,range_232,range_240,range_248,range_256,range_264,range_272,range_280,range_288,range_296,range_304,range_312,range_320,range_328,range_336,range_344,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
0.420,0.254416,0.257232,0.271912,0.283917,0.317153,0.340611,0.400764,0.472049,0.625894,0.880772,1.318037,1.295267,1.307001,1.344265,1.406143,1.498788,1.655712,1.700683,1.521715,1.396976,1.307883,1.263398,1.239771,1.241614,0.913665,0.604543,0.432128,0.339185,0.292736,0.244966,0.225298,0.211212,0.203109,0.207458,0.206800,0.201319,0.209288,0.220996,0.235468,0.272475,0.315307,0.307187,0.282494,0.268320,0.261705,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.440,0.270663,0.270066,0.271937,0.282605,0.314232,0.341306,0.401383,0.464272,0.611546,0.867731,1.321647,1.297668,1.308249,1.344647,1.407378,1.510818,1.656069,1.711356,1.520910,1.394139,1.310296,1.262948,1.241387,1.238669,0.926570,0.575502,0.427534,0.344251,0.281949,0.235697,0.236246,0.221362,0.205412,0.200154,0.204938,0.203116,0.213462,0.221265,0.253940,0.262126,0.326408,0.305514,0.288938,0.274289,0.266114,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.460,0.252134,0.268432,0.275077,0.288743,0.314209,0.335765,0.396250,0.475685,0.620032,0.868493,1.317414,1.302193,1.312773,1.341581,1.395471,1.504436,1.663830,1.710991,1.515670,1.396201,1.323310,1.261248,1.241494,1.257889,0.925089,0.605184,0.413545,0.343538,0.281830,0.264293,0.228043,0.214663,0.204937,0.196422,0.213497,0.206466,0.208087,0.230433,0.223872,0.276218,0.315579,0.294759,0.283047,0.276522,0.263827,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.480,0.252637,0.260452,0.276828,0.285290,0.309119,0.342117,0.395763,0.475972,0.610578,0.868441,1.319975,1.296596,1.304744,1.338260,1.401403,1.512247,1.661246,1.712474,1.512473,1.394434,1.311896,1.268437,1.237795,1.244348,0.891884,0.607039,0.426110,0.326384,0.279049,0.256704,0.230704,0.210505,0.209569,0.204248,0.192082,0.204582,0.210185,0.230088,0.240983,0.272497,0.327787,0.303401,0.283717,0.274415,0.260306,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.500,0.257250,0.264772,0.274096,0.286147,0.309187,0.340791,0.398658,0.477708,0.609554,0.866762,1.316734,1.299138,1.307041,1.336346,1.399077,1.513378,1.664560,1.711092,1.524032,1.386119,1.307595,1.266587,1.237530,1.236924,0.930521,0.574268,0.426192,0.335805,0.278454,0.242388,0.221349,0.215426,0.205312,0.201762,0.196912,0.200673,0.207808,0.220566,0.242638,0.275210,0.311203,0.304508,0.280352,0.265851,0.264705,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.520,0.264556,0.270464,0.283527,0.291182,0.306887,0.338618,0.399917,0.471776,0.606906,0.876114,1.314430,1.297503,1.312835,1.343721,1.403974,1.516330,1.652430,1.711189,1.526664,1.393455,1.311642,1.269636,1.248095,1.253638,0.925178,0.570690,0.415261,0.331545,0.292548,0.238127,0.239264,0.219614,0.211264,0.200910,0.201052,0.201336,0.210339,0.232925,0.238286,0.270249,0.305729,0.300151,0.279756,0.271230,0.266786,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.540,0.264596,0.255284,0.274864,0.277917,0.311561,0.337767,0.390312,0.480000,0.618213,0.877020,1.314398,1.296738,1.310460,1.338428,1.404496,1.511970,1.657354,1.705378,1.529806,1.401090,1.316219,1.267463,1.242915,1.238924,0.918534,0.571781,0.420850,0.335988,0.277391,0.248780,0.234605,0.216502,0.209170,0.201603,0.199777,0.204041,0.211335,0.218253,0.241871,0.275226,0.309438,0.305662,0.281246,0.271525,0.259807,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.560,0.262552,0.265131,0.272175,0.282707,0.320316,0.344057,0.398850,0.472101,0.615522,0.872748,1.312036,1.298865,1.309685,1.340686,1.404920,1.514631,1.667615,1.705282,1.516262,1.396543,1.315546,1.267147,1.247179,1.235421,0.913123,0.599953,0.426825,0.320375,0.265308,0.258113,0.230064,0.215890,0.210849,0.205482,0.202247,0.195444,0.212070,0.222818,0.254222,0.277656,0.313186,0.305749,0.287679,0.268767,0.263563,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.580,0.273866,0.268659,0.271073,0.286598,0.307411,0.338026,0.387337,0.476853,0.605998,0.874372,1.320392,1.300573,1.311248,1.343553,1.411544,1.511084,1.652474,1.710835,1.527209,1.402355,1.323675,1.264151,1.244162,1.242470,0.921274,0.601184,0.427436,0.328483,0.301880,0.260217,0.233078,0.216208,0.196604,0.202759,0.202130,0.209699,0.208251,0.232017,0.244493,0.261978,0.328535,0.312544,0.279606,0.270354,0.256222,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.600,0.260435,0.256072,0.271462,0.287599,0.300054,0.339219,0.385464,0.478291,0.608933,0.868223,1.318017,1.298324,1.308755,1.344410,1.415572,1.508585,1.666045,1.707494,1.521181,1.398659,1.320636,1.264358,1.240239,1.248257,0.919327,0.571941,0.425520,0.335250,0.280667,0.253548,0.233393,0.214914,0.208680,0.201255,0.202452,0.202981,0.208484,0.220910,0.240958,0.267117,0.317161,0.305780,0.277053,0.275035,0.258349,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
