timestamp,range_0,range_16,range_32,range_48,range_64,range_80,range_96,range_112,range_128,range_144,range_160,range_176,range_192,range_208,range_224,range_240,range_256,range_272,range_288,range_304,range_320,range_336,range_352,odom_x,odom_y,odom_theta,v,w,gt_x,gt_y,gt_theta
0.580,0.273866,0.271073,0.307411,0.387337,0.605998,1.320392,1.311248,1.411544,1.652474,1.527209,1.323675,1.244162,0.921274,0.427436,0.301880,0.233078,0.196604,0.202130,0.208251,0.244493,0.328535,0.279606,0.256222,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.600,0.260435,0.271462,0.300054,0.385464,0.608933,1.318017,1.308755,1.415572,1.666045,1.521181,1.320636,1.240239,0.919327,0.425520,0.280667,0.233393,0.208680,0.202452,0.208484,0.240958,0.317161,0.277053,0.258349,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.620,0.267467,0.268851,0.297947,0.399484,0.610292,1.320940,1.302550,1.400199,1.655588,1.515835,1.306145,1.240049,0.917543,0.429861,0.258221,0.226557,0.205218,0.201425,0.207722,0.248622,0.308809,0.287111,0.265930,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.640,0.264383,0.267144,0.297406,0.396536,0.609075,1.319475,1.304329,1.415924,1.659132,1.526730,1.310728,1.238997,0.894355,0.410549,0.294869,0.234917,0.204371,0.194425,0.214366,0.244209,0.314428,0.276396,0.261437,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.660,0.259453,0.263523,0.303254,0.399290,0.615426,1.316958,1.306533,1.415949,1.649134,1.531863,1.320292,1.239812,0.923896,0.431328,0.282873,0.227952,0.209862,0.199279,0.207800,0.250392,0.312842,0.290900,0.265131,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.680,0.255571,0.277649,0.309400,0.400818,0.608249,1.317977,1.317532,1.413126,1.670348,1.528122,1.309818,1.245260,0.920335,0.422140,0.288126,0.230496,0.207375,0.202743,0.206802,0.231630,0.326196,0.278069,0.258904,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.700,0.262318,0.266479,0.312789,0.389013,0.619061,1.322740,1.311177,1.406784,1.666395,1.513514,1.316848,1.245624,0.890020,0.430192,0.276197,0.233491,0.209063,0.196456,0.209980,0.228741,0.307803,0.284954,0.260510,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.720,0.267777,0.269345,0.313740,0.394754,0.612884,1.316944,1.294680,1.404740,1.666601,1.520978,1.320581,1.245005,0.892201,0.427459,0.282544,0.224407,0.203399,0.195669,0.205568,0.260830,0.305358,0.280830,0.258730,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.740,0.267901,0.275705,0.306336,0.391339,0.612808,1.320075,1.306993,1.407007,1.675321,1.520315,1.318175,1.239978,0.929143,0.429020,0.280576,0.233221,0.204708,0.202948,0.203460,0.244923,0.326057,0.281154,0.262832,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.760,0.261802,0.276597,0.322219,0.400847,0.608293,1.315582,1.304948,1.407859,1.657458,1.526265,1.312046,1.235977,0.893184,0.427946,0.274219,0.229082,0.211339,0.205785,0.209033,0.235348,0.314711,0.289924,0.257357,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.780,0.255826,0.266555,0.306505,0.393112,0.604095,1.320013,1.302862,1.405401,1.656735,1.518520,1.309407,1.242711,0.932065,0.415070,0.270097,0.229013,0.205627,0.204101,0.210865,0.245464,0.311586,0.284772,0.261615,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.800,0.268696,0.269006,0.311562,0.391535,0.618399,1.318596,1.308771,1.403982,1.670785,1.521384,1.310814,1.245080,0.894065,0.428054,0.269835,0.226447,0.207765,0.194758,0.207211,0.238799,0.319807,0.283248,0.257676,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
0.820,0.263754,0.272788,0.296827,0.388842,0.605093,1.318339,1.306590,1.403919,1.655787,1.530668,1.306187,1.242800,0.894687,0.418545,0.284225,0.225450,0.205153,0.193196,0.207948,0.244714,0.315021,0.283783,0.264357,-0.458800,-0.550000,0.000000,0.000000,0.000000,-0.458800,-0.550000,0.000000
