timestamp,gt_x,gt_y,est_x,est_y,position_error_m,max_belief,status
8.4,0.078124,-0.51412,-0.4750000000000001,0.11499999999999999,0.8376981161349237,0.016145507215215498,NORMAL
8.42,0.078121,-0.514121,-0.4750000000000001,0.11499999999999999,0.8376968862792795,0.01649996879358102,NORMAL
8.44,0.078118,-0.514121,-0.4750000000000001,0.10499999999999998,0.8302110180941953,0.016853185685215044,NORMAL
8.46,0.079994,-0.512044,-0.4750000000000001,0.10499999999999998,0.8299166451951666,0.01739769284932111,NORMAL
8.48,0.082002,-0.509811,-0.4750000000000001,0.10499999999999998,0.829604600834036,0.017684426692841825,NORMAL
8.5,0.084009,-0.507577,-0.4750000000000001,0.10499999999999998,0.8293019010046945,0.018006785959572825,NORMAL
8.52,0.086017,-0.505345,-0.4750000000000001,0.09499999999999997,0.8216776699618897,0.018653235040065802,NORMAL
8.54,0.088024,-0.503113,-0.4750000000000001,0.09499999999999997,0.8214226593812713,0.01925231475100601,NORMAL
8.56,0.090031,-0.500881,-0.4750000000000001,0.09499999999999997,0.8211785415620649,0.019727462898799997,NORMAL
8.58,0.090262,-0.500622,-0.4750000000000001,0.08499999999999996,0.8139252149479091,0.02038251444628388,NORMAL
8.6,0.090281,-0.500599,-0.4750000000000001,0.08499999999999996,0.8139218621968574,0.02100721623956818,NORMAL
8.62,0.090278,-0.500601,-0.4750000000000001,0.08499999999999996,0.8139212176156855,0.021353292087263748,NORMAL
8.64,0.090275,-0.500602,-0.4750000000000001,0.08499999999999996,0.8139198535660621,0.021428133522920282,NORMAL
8.66,0.090273,-0.500603,-0.4750000000000001,0.08499999999999996,0.8139191840336485,0.02141660910861947,NORMAL
8.68,0.09027,-0.500604,-0.4750000000000001,0.08499999999999996,0.8139178200015036,0.021436778161662128,NORMAL
8.7,0.090268,-0.500604,-0.4750000000000001,0.08499999999999996,0.8139164309927649,0.02148916565003549,NORMAL
8.72,0.091975,-0.498513,-0.4750000000000001,0.08499999999999996,0.8136019123588637,0.021537365566673922,NORMAL
8.74,0.093686,-0.496045,-0.4750000000000001,0.08499999999999996,0.8130295558102425,0.021485768840850437,NORMAL
8.76,0.095398,-0.493578,-0.4750000000000001,0.07499999999999996,0.8053786814213548,0.021602533547494585,NORMAL
8.78,0.097109,-0.491111,-0.4750000000000001,0.07499999999999996,0.8048542552549499,0.02186388593452602,NORMAL
8.8,0.098821,-0.488644,-0.4750000000000001,0.07499999999999996,0.8043414068522149,0.021939629299443413,NORMAL
8.82,0.100531,-0.486178,-0.4750000000000001,0.07499999999999996,0.8038387149453553,0.022039552804962607,NORMAL
8.84,0.100583,-0.485852,-0.4750000000000001,0.06499999999999995,0.7967017734340749,0.02223927240470197,NORMAL
